高校名称,院校档次,省份,城市,软科排名,国际处网址,理工学院数,理工学院网址,更新说明
中北大学,软科top150,山西省,太原市,144,http://international.nuc.edu.cn/,16,科学技术研究院: http://std.nuc.edu.cn; 机电工程学院: http://jdgc.nuc.edu.cn/; 机械工程学院: http://jxdl.nuc.edu.cn/; 材料科学与工程学院: http://3y.nuc.edu.cn/; 化学与化工学院: http://hgxy.nuc.edu.cn/; 信息与通信工程学院: http://5y.nuc.edu.cn/; 仪器与电子学院: http://6y.nuc.edu.cn/; 计算机科学与技术学院: http://cst.nuc.edu.cn; 数学学院: http://math.nuc.edu.cn/; 软件学院: http://ss.nuc.edu.cn/; 环境与安全工程学院: http://hjaq.nuc.edu.cn; 电气与控制工程学院: http://ece.nuc.edu.cn; 能源与动力工程学院: http://epe.nuc.edu.cn; 航空宇航学院: http://hkyh.nuc.edu.cn; 半导体与物理学院: http://bdtywlxy.nuc.edu.cn/; 卓越工程师学院: https://zgxy.nuc.edu.cn/,软科top150新增目标高校 + 国际处网址 + 理工学院网址16条
广东工业大学,软科top150,广东省,广州市,96,https://wsc.gdut.edu.cn/index.htm,15,机电工程学院: https://jdgcxy.gdut.edu.cn; 信息工程学院: https://xxgcxy.gdut.edu.cn; 计算机学院: https://cs.gdut.edu.cn/; 建筑与城市规划学院: https://arc.gdut.edu.cn; 集成电路学院: https://sme.gdut.edu.cn/; 卓越工程师学院: https://zygcsxy.gdut.edu.cn/; 自动化学院: https://automation.gdut.edu.cn; 土木与交通工程学院: https://tmjtxy.gdut.edu.cn; 材料与能源学院: https://clnyxy.gdut.edu.cn; 数学与统计学院: https://math.gdut.edu.cn/; 生态环境与海洋学院: https://seer.gdut.edu.cn; 轻工化工学院: https://qghgxy.gdut.edu.cn; 环境科学与工程学院: https://hkxy.gdut.edu.cn; 物理与光电工程学院: https://wlgdxy.gdut.edu.cn/; 先进材料与技术研究院: https://www.gdut.edu.cn/jgsz/kyjg.htm,软科top150新增目标高校 + 国际处网址 + 理工学院网址15条
广州大学,软科top150,广东省,广州市,105,http://wsc.gzhu.edu.cn/,1,科学研究院: http://kyc.gzhu.edu.cn/,软科top150新增目标高校 + 国际处网址 + 理工学院网址1条
深圳大学,软科top150,广东省,深圳市,66,https://hmt.szu.edu.cn/,12,心理学院: http://psy.szu.edu.cn/; 数学科学学院: http://math.szu.edu.cn/; 物理与光电工程学院: http://cpoe.szu.edu.cn/; 化学与环境工程学院: http://chem.szu.edu.cn/; 生命与海洋科学学院: http://bio.szu.edu.cn/; 机电与控制工程学院: http://cmce.szu.edu.cn/; 材料学院: http://cmse.szu.edu.cn/; 电子与信息工程学院: http://ceie.szu.edu.cn/; 计算机与软件学院: http://csse.szu.edu.cn/; 人工智能学院: https://ai.szu.edu.cn/; 建筑与城市规划学院: http://saup.szu.edu.cn/; 土木与交通工程学院: http://ce.szu.edu.cn/,软科top150新增目标高校 + 国际处网址 + 理工学院网址12条
广西师范大学,软科top150,广西壮族自治区,桂林市,149,,7,数学与统计学院: http://www.math.gxnu.edu.cn/; 物理科学与技术学院: http://www.pe.gxnu.edu.cn/; 生命科学学院: http://www.bio.gxnu.edu.cn/; 环境与资源学院: http://www.zhx.gxnu.edu.cn/; 计算机科学与工程学院 / 软件学院/人工智能学院: http://www.cs.gxnu.edu.cn/; 电子与信息工程学院/集成电路学院: http://www.ee.gxnu.edu.cn/; 职业技术师范学院: http://www.zsxy.gxnu.edu.cn/,软科top150新增目标高校 + 理工学院网址7条
南京工业大学,软科top150,江苏省,南京市,88,http://ico.njtech.edu.cn/,1,科学研究院: https://kyy.njtech.edu.cn/,软科top150新增目标高校 + 国际处网址 + 理工学院网址1条
南通大学,软科top150,江苏省,南通市,147,https://gjjl.ntu.edu.cn/,9,数学与统计学院: https://sms.ntu.edu.cn/; 物理科学与技术学院: https://phys.ntu.edu.cn; 化学化工学院: https://hgxy.ntu.edu.cn/; 机械工程学院: https://sme.ntu.edu.cn/; 纺织服装学院: https://fzfz.ntu.edu.cn/; 地理科学学院: https://geo.ntu.edu.cn/; 交通与土木工程学院: https://jttm.ntu.edu.cn/; 海洋研究院: https://hyyjy.ntu.edu.cn/; 锡耶纳未来生物技术学院: https://xyn.ntu.edu.cn/,软科top150新增目标高校 + 国际处网址 + 理工学院网址9条
扬州大学,软科top150,江苏省,扬州市,93,,11,数学学院: https://sxxy.yzu.edu.cn/; 化学与材料学院: https://hxhg.yzu.edu.cn/; 机械工程学院: https://jxgcxy.yzu.edu.cn/; 智能制造装备产业学院: http://cyxy.yzu.edu.cn; 土木与交通学院: https://jgxy.yzu.edu.cn/; 水利科学与工程学院: https://slxy.yzu.edu.cn/; 电气与能源动力工程学院: https://dnxy.yzu.edu.cn/; 环境科学与工程学院: https://hjxy.yzu.edu.cn/; 动物科学与技术学院: https://dkxy.yzu.edu.cn/; 生物科学与技术学院: https://sjxy.yzu.edu.cn/; 食品科学与工程学院: https://spxy.yzu.edu.cn/,软科top150新增目标高校 + 理工学院网址11条
江苏大学,软科top150,江苏省,镇江市,81,http://foreign.ujs.edu.cn/,11,农业工程学院: https://sae.ujs.edu.cn/; 生物科学与技术学院: https://smkx.ujs.edu.cn/; 低空技术学院: https://slat.ujs.edu.cn/; 能源动力工程学部: https://www.ujs.edu.cn/jgsz.htm; 能源与动力工程学院: https://sepe.ujs.edu.cn/; 汽车与交通工程学部: https://qcjtxb.ujs.edu.cn/; 汽车与交通工程学院: https://auto.ujs.edu.cn/; 汽车工程研究院: https://aeri.ujs.edu.cn/; 计算机科学与通信工程学院: http://cs.ujs.edu.cn/; 物理与电子工程学院: https://phy.ujs.edu.cn/; 卓越工程师学院，挂靠研究生院: https://yjsy.ujs.edu.cn/,软科top150新增目标高校 + 国际处网址 + 理工学院网址11条
江苏科技大学,软科top150,江苏省,镇江市,141,https://www.just.edu.cn/2024/0201/c11935a365817/page.htm,12,船舶与海洋工程学院: http://naoe.just.edu.cn; 机械工程学院: http://jixie.just.edu.cn/; 能源与动力学院: http://sepe.just.edu.cn; 自动化学院: http://zidonghua.just.edu.cn/; 材料科学与工程学院: http://cailiao.just.edu.cn; 计算机学院: http://jisuanji.just.edu.cn/; 土木工程与建筑学院: http://tmjz.just.edu.cn/; 生物技术学院: http://swjs.just.edu.cn; 环境与化学工程学院: http://huanhua.just.edu.cn; 海洋学院: http://ocean.just.edu.cn; 理学院: http://ssc.just.edu.cn; 海洋装备研究院: http://justmeti.just.edu.cn/,软科top150新增目标高校 + 国际处网址 + 理工学院网址12条
